Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Mapping type,Mapped identifier,Mapped label,Mapped type
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1618,Business centres,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,350,Business grants,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,55,Business rate relief,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,56,Business rates account enquiries,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,54,Business rates annual notification,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,693,Business security grants,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,385,Butchers shop licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1046,Calibration and testing,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1111,Car pooling,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,743,Caravan site licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,316,Care - home assessment,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,242,Care at home,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,209,Care needs assessment,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1755,Carers assessment,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1142,Caretaking,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,370,Change of circumstances,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,711,Change of housing tenancy,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,631,Chaperone service,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,48,Child performance licences,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,266,Child protection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,19,Childcare out of school hours,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1352,Childcare provider registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,21,Childminders,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,20,Childminding,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1069,Children's certificate,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,449,Children's libraries,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1040,Children's panel recruitment,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1137,Civic liability,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,875,Civil funerals,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1296,Civil marriage and civil partnership venue licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,691,Clean Air Act approval,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,859,Clinical household waste,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,646,Club premises certificate,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,523,Commercial  clinical waste disposal,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,93,Commercial lettings,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,519,Commercial waste bins,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,517,Commercial waste collection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,522,Commercial waste special collections,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,518,Commercial waste spillage,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,566,Communal lighting,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,313,Community alarms and Telecare,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1402,Community equipment loans,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1412,Community noticeboards,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,272,Community transport,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1044,Community wardens,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,645,Complaints advocacy,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,353,Complaints procedure,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,535,Composters,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,714,Compulsory property acquisition,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1355,"Consent for cellars, pavement lights and ventilators under street",Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,512,Conservation area planning,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1736,Conservation area tree works notification,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1749,Contraception,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1594,Conventional tower cranes notification,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1285,Conveyancing,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,707,Cooling tower registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,663,Copy certificates,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1151,Corporate - business process improvement,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1305,Corporate - records management,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1042,Council - commercial activities - equipment hire - civic events,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1047,Council - common good funds,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,58,Council tax account enquiries,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,57,Council tax annual notification,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1763,Council tax appeals,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,61,Council tax band reductions,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,65,Council tax benefit appeals,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,62,Council tax benefit backdated claims,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,64,Council tax benefit current claim,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,63,Council tax benefit new claim,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,66,Council tax benefit overpayments,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,67,Council tax benefit renewal,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,59,Council tax discount,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,60,Council tax exemptions,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1574,Councillors allowances and expenses,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,683,Credit licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1476,Criminal damage - dwelling,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1477,Criminal damage - non-domestic building,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1479,Criminal damage - non-specific,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1478,Criminal damage - property,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1475,Criminal damage - vehicle,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1059,Crofting and rural house purchase grants,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1159,Cultural grants,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,337,Current vacancies,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1530,Cycle hire,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,547,Cycle training,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,376,Dangerous animals licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1471,Dangerous dogs enforcement,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,600,Dangerous structures,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,576,Dead animal removal,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,331,Death - funerals - cost information,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,324,Death - historical searches,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1356,Declaration of compliance with NIEA greenfield soils guidance,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,143,Decoration and disturbance allowances,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,901,Demand responsive transport,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,684,Derelict properties,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1158,Development control enforcement,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,287,Direct payments,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,221,Disabled and older people - rail card,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,137,Disabled facilities grant,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,280,Disabled people - bus passes,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,239,Disabled people - employment and training schemes,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,130,Disabled people - home adaptations,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,178,Disabled people - home adaptations and aids,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,274,Disabled people - parking bays,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,279,Disabled people - parking permits,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,275,Disabled people - taxi card,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1734,Discharge of planning conditions,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1148,Discretionary Housing Payment,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1094,Dog  waste bins,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,377,Dog breeding licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,577,Dog fouling,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,612,Dog registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1397,Domestic heating oil tanks,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,398,Door supervisor licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1067,Door-to-door metal dealer licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,555,Drain and gully clearance,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,783,Driver training,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,477,Dropped kerbs,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1729,Dual drivers licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1741,Early education for 2 year olds,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,888,Early years grant,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,11,Education - grants - disabled students allowance,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,23,Education - grants - education maintenance award,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,24,Education - grants - student awards,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,25,Education - loans - student loan,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1135,Education transport for 16-19 year olds,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1282,Educational support for looked after children,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,364,Electoral register,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,139,Emergency out of hours housing repairs,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1619,Ending housing tenancy,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,880,Energy efficiency,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,601,Environmental health - out of hours emergencies,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,846,Environmental health placements,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1738,Environmental Impact Assessment screening,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1789,Exercise and fitness classes,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1084,Exhaust emission testing,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,796,Explosives licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1301,Facilities - equipment,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1299,Facilities - internal mail,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1300,Facilities - reception,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,149,Fair rents inspection,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1579,Family information services,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1053,Feed hygiene registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1536,Feedback and suggestions,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,751,Field study centres,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,857,Financial assistance for housing associations,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1609,Fire and rescue - operational assurance,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1610,Fire and rescue - risk management,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1605,Fire and rescue incident investigation,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,805,Fire certificates - factories,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,808,Fire certificates - hotels/boarding houses,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,806,Fire certificates - offices,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,807,Fire certificates - shops,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1608,Fire risk assessment - commercial property,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1119,Fire risk assessment - residential property,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,809,Fire warden/commercial training,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1604,Firework incident research,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1068,Fireworks display licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,384,Fireworks sales licence,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1612,Flood prevention,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,588,Flyposting,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,587,Flytipping,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,390,Food business registration,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1293,Food premises approval,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,1423,Food waste recycling,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,159,Fostering,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,4,Free school meals,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,722,Freedom of Information,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,697,Fuel delivery and storage,Service
0,Applications for service,,2013-04-03,2013-04-03,,Interaction,,,is part of,487,Full planning applications,Service
